"Abeliophyllum distichum","B",,,"strip, 70"
"Abies alba",,,2,"70D"
"Abies amabilis","B",,,"40-70"
"Abies boris-regis",,,2,"70D"
"Abies cephalonica",,,2,"70D"
"Abies cilicica",,,2,"70D"
"Abies equi-trojani",,,2,"70L (6w)- 70D"
"Abies fabri",,,2,"70L"
"Abies firma",,,2,"70D"
"Abies holophylla",,,2,"70D"
"Abies koreana","B",,,"40-70D"
"Abies nephrolepsiis",,,2,"70D"
"Abies nordmanniana",,,2,"70D"
"Abies nordmanniana","B",,,"70D"
"Abies pindrow",,,2,"70D"
"Abies recurvata",,,2,"70D"
"Abies religiosa",,,2,"70D"
"Abies veitchii",,,2,"70D"
"Abies veitchii",,1,,"70D"
"Abies veitchii","B",,,"70D"
"Abronia fragrans","B",,,70
"Abronia villosa","B",,,70
"Abutilon (hybrids)",,1,,70
"Abutilon theophrasti","B",,,"puncture, 70"
"Abutilon vitifolium",,,2,"70D"
"Abutilon vitifolium",,1,,70
"Acacia cyanophylla",,,2,"puncture, 70D"
"Acacia cyanophylla",,1,,"puncture, 70"
"Acacia dealbata",,,2,"puncture, 70D"
"Acacia dealbata",,1,,"puncture, 70"
"Acacia iteophylla",,,2,"puncture, 70D"
"Acacia iteophylla",,1,,"puncture, 70"
"Acacia iteophylla","B",,,"puncture, 70"
"Acaena anserinifolia","B",,,70
"Acaena caesiiglauca",,,2,"DS 3 y = dead"
"Acaena inermis","B",,,"70D-40-70D"
"Acaena microphylla",,,2,"DS 3 y = dead"
"Acaena nova-zelandiae",,,2,"DS 3 y = dead"
"Acaena saccaticupula",,,2,"70D"
"Acaena splendens","B",,,70
"Acanthocalycium peitscherianum",,"1c",,"70 GA-3"
"Acanthocalycium spiniflorum",,"1c",,"70 GA-3"
"Acanthocalycium violaceum",,"1c",,70
"Acantholimon araxanum","B",,,"D-70"
"Acantholimon armenum","B",,,"D-70"
"Acantholimon bracteatum","B",,,"D-70"
"Acantholimon caryophyllaceum","B",,,"D-70"
"Acantholimon diapensoides","B",,,"D-70"
"Acantholimon glumaceum","B",,,"D-70"
"Acantholimon hedinum","B",,,"D-70"
"Acantholimon hilariae","B",,,"D-70"
"Acantholimon litvinovii","B",,,"D-70"
"Acantholimon pamiricum","B",,,"D-70"
"Acantholimon parviflorum","B",,,"D-70"
"Acantholimon pterostegium","B",,,"D-70"
"Acantholimon puberulum","B",,,"no germ"
"Acantholimon pulchellum","B",,,"no germ"
"Acantholimon raddeanum","B",,,"no germ"
"Acantholimon reflexifolium","B",,,"D-70"
"Acantholimon spirizianum","B",,,"D-70"
"Acantholimon ulcinum","B",,,"no germ"
"Acantholimon vedicum","B",,,"D-70"
"Acantholimon velutinum","B",,,"no germ"
"Acantholimon venustum","B",,,"D-70"
"Acanthophyllum glandulosum","B",,,"no germ"
"Acanthophyllum gypsophiloides","B",,,"40-70"
"Acanthophyllum macrocephalum","B",,,"no germ"
"Acanthophyllum pungens","B",,,"40-70"
"Acanthophyllum shugnanicum","B",,,"OT"
"Acanthophyllum sordidum","B",,,"no germ"
"Acanthus balcanicus",,1,,"70D"
"Acanthus mollis",,1,,"70D"
"Acer buergerianum","B",,,40
"Acer crataegifolium","B",,,"extract, 40-70"
"Acer ginnala",,,2,"40-70"
"Acer ginnala v. aidzvense","B",,,40
"Acer griseum",,1,,"comment"
"Acer griseum","B",,,"extract, 40-70"
"Acer heldreichii","B",,,"rotted"
"Acer japonicum","B",,,"40-crack-70"
"Acer negundo","B",,,"puncture, 70"
"Acer nikoense",,1,,"nick"
"Acer nikoense","B",,,"soak, extract, 70"
"Acer pennsylvanicum","B",,,"extract, 40"
"Acer platanoides","B",,,"40-70"
"Acer pseudoplatanus",,1,,"extract, nick"
"Acer pseudoplatanus ","B",,,"soak, extract, 70"
"Acer pseudosieboldiana",,1,,"extract, nick"
"Acer pseudosieboldiana","B",,,"soak, extract, 70"
"Acer rubrum",,1,,"comment"
"Acer rubrum","B",,,70
"Acer saccharinum",,1,,"40, 70"
"Acer saccharum","B",,,70
"Acer semenovii","B",,,40
"Acer spicatum ","B",,,"extract, 70D-40-70D"
"Acer tataricum","B",,,"40-extract-70"
"Acer truncatum",,1,,"extract, peel"
"Achillea millefolium","B",,,"D-70"
"Achlys triphylla ",,,2,"40-70"
"Acidanthera bicolor","B",,,70
"Acinos alpinus",,1,,"70L"
"Aciphylla aurea",,1,,"70D-40-70"
"Aciphylla aurea","B",,,"70 GA-3"
"Aciphylla dobsonii","B",,,"70 GA-3"
"Aciphylla hectori","B",,,"70 GA-3"
"Aciphylla monroi",,1,,"70-40-70-40-70"
"Ackama roseifolia",,,2,"70L"
"Acnistus australis",,,2,"70L"
"Aconitum ajanense","B",,,"rotted"
"Aconitum apetalum","B",,,"rotted"
"Aconitum ferox","B",,,"40 4 w, 55 3 m"
"Aconitum firmum","B",,,"rotted"
"Aconitum heterophyllum","B",,,"70L"
"Aconitum lycoctorum","B",,,"40 4 w, 55 3 m"
"Aconitum macrostynchium","B",,,"rotted"
"Aconitum napellus",,1,,"rotted"
"Aconitum napellus","B",,,"rotted"
"Aconitum nasutum","B",,,"rotted"
"Aconitum orientale","B",,,"rotted"
"Aconitum pubiceps","B",,,"rotted"
"Aconitum raddeanum","B",,,"rotted"
"Aconitum variagatum","B",,,"rotted"
"Aconitum volubile","B",,,"rotted"
"Aconitum vulparia",,1,,"comment"
"Aconitum vulparia","B",,,"rotted"
"Aconitum wilsoni","B",,,40
"Actaea erythrocarpa","B",,,"WC 7 d, OT-70"
"Actaea pachypoda","B",,,"WC 7 d, 40-70-40-40~70"
"Actaea rubra","B",,,"WC 7 d, 40-70-40-40~70"
"Actaea spicata","B",,,"WC 7 d, DS 6 m, 70-40-OT"
"Actinidia chinensis","B",,,"WC 7 d, 70L"
"Actinomeris alternifolia",,,2,"chaff"
"Actinotus helianthii",,,2,"empty"
"Adenium obesum","B",,,70
"Adenophora farreri","B",,,"70D"
"Adenophora koreana","B",,,"70L"
"Adenophora kurilensis","B",,,"70D GA-3"
"Adenophora lilifolia","B",,,"70D"
"Adenophora potanini","B",,,"70D"
"Adenophora tashiroi","B",,,"70D"
"Adenostoma facsiculatum",,1,,"70 GA-3"
"Adlumia fungosa","B",,,70
"Adonis aestivalis","B",,,"D-70"
"Adonis amurensis","B",,,"no germ"
"Adonis brevistylis","B",,,"no germ"
"Adonis chrysocyathus","B",,,"OT"
"Adonis pyrenaica","B",,,"no germ"
"Adonis turkestanica","B",,,"empty"
"Adonis vernalis",,,2,"empty"
"Adonis vernalis",,1,,"empty"
"Adonis vernalis","B",,,40
"Aeniopsis cabolica",,1,,"70D"
"Aeonium simsii",,1,,"70L"
"Aeonium tabuliforme",,1,,"70L"
"Aesculus discolor",,1,,70
"Aesculus glabra",,1,,"40-70"
"Aesculus hippocastanum",,1,,"40-70"
"Aesculus hippocastanum","B",,,"40-70"
"Aesculus octandra",,1,,"40-70"
"Aesculus parviflora",,1,,70
"Aesculus parviflora serotina",,1,,70
"Aesculus pavia",,1,,"40-70"
"Aesculus pavia","B",,,"40-70"
"Aesculus sylvatica",,1,,70
"Aesculus turbinata",,1,,"40-70"
"Aesculus turbinata tomentosa (A. chinensis)",,1,,"40-70"
"Aesculus x carnea",,1,,70
"Aethephyllum pinnatifidum",,,2,"70D or L"
"Aethephyllum pinnatifidum",,1,,"70D"
"Aethionema grandiflorum","B",,,"D-40"
"Aethiopsis cabolica",,,2,"70D"
"Agalinis setacea","B",,,"OT"
"Agapanthus africanus","B",,,70
"Agastache anisata","B",,,70
"Agastache foeniculum",,,2,"OK after DS 6 m"
"Agastache foeniculum","B",,,"40-70L"
"Agastache fragrans","B",,,70
"Agastache nepetoides",,1,,"70L"
"Agastache nepetoides","B",,,"40-70L"
"Agastache occidentalis",,,2,"70L"
"Agastache occidentalis",,1,,"70L"
"Agastache scrophulariaefolia",,1,,"70L"
"Agastache scrophulariaefolia","B",,,"40-70L"
"Agastache urticifolium","B",,,70
"Agathosma ovata",,,2,"rotted"
"Agave (Manfreda) virginica","B",,,"40-70D"
"Ageratina occidentale",,,2,"70D"
"Ageratina occidentale",,1,,"70D"
"Ageratum sp.",,,2,"50-85DorL"
"Agrimonia eupatoria",,1,,40
"Agrophyron pubiflorum",,,2,"70DorL"
"Agrophyron scabrum",,,2,"70DorL"
"Agrostemma githago",,,2,"70D"
"Agrostemma tinicola",,,2,"70D"
"Agrostemma tinicola",,1,,"70D"
"Agrostocrinum scabrum",,1,,"empty"
"Aichryson divaricatum","B",,,"70D GA-3"
"Ailanthus altissima","B",,,"70L"
"Ajania tibetica","B",,,70
"Ajuga chamaepitys","B",,,"70 GA-3"
"Akebia quinata",,1,,"40-70"
"Alangium platanifolium",,1,,"70 GA-3"
"Albizzia julibrissin",,,2,"puncture, 70D"
"Albizzia julibrissin","B",,,"comment"
"Albuca aurea",,,2,"70DorL"
"Albuca aurea ",,1,,70
"Albuca canadensis",,,2,"70D"
"Albuca canadensis",,1,,"70D"
"Albuca humilis",,,2,"70D"
"Albuca humilis",,1,,70
"Albuca longifolia",,,2,"rotted"
"Albuca shawii",,,2,"70D"
"Albuca sp.",,1,,70
"Alcea ficifolia",,,2,"70D"
"Alcea ficifolia",,1,,"70D"
"Alcea rosea",,1,,"D-70"
"Alchemilla alpina",,1,,"70D-40-OS"
"Alchemilla faeronensis",,1,,"OT"
"Alchemilla mollis",,1,,"OT"
"Alchemilla mollis","B",,,"70L"
"Alchemilla saxatilis",,1,,"OT"
"Alchemilla saxatilis","B",,,"40-70L"
"Alchemilla vulgaris",,1,,"OT"
"Aletes humilis",,,2,"40-70D"
"Aletris farinosa","B",,,"70L"
"Alisma plantago-aquatica",,,2,"70L-40-70D"
"Alisma plantago-aquatica","B",,,"70L"
"Allardia tridactylites",,,2,"chaff"
"Allium aff. farreri",,1,,40
"Allium alba",,1,,"70D"
"Allium alba",,,2,"DS 2 y = dead"
"Allium albopilosum",,1,,40
"Allium albopilosum","B",,,40
"Allium azureum","B",,,70
"Allium cernuum","B",,,70
"Allium christophii","B",,,40
"Allium falcifolium","B",,,"70-40-70"
"Allium flavum",,,2,"DS 4 y = dead"
"Allium giganteum","B",,,"70-40"
"Allium goodingii","B",,,"70D"
"Allium karataviense",,1,,"OT"
"Allium karataviense","B",,,"70-40-70-40-70-40-70"
"Allium moly",,1,,"40-70"
"Allium moly","B",,,40
"Allium pulchellum",,,2,"DS 6 y = dead"
"Allium pulchellum ","B",,,"40-70-40-70-40-70"
"Allium schubertii",,1,,"70D"
"Allium tanguticum","B",,,70
"Allium tricoccum","B",,,"40-70"
"Allium unifolium",,,2,40
"Allium vulgaris",,1,,"70 GA-3"
"Alnus crispa",,1,,"70L"
"Alnus glutinosa",,1,,"70L"
"Alnus hirsuta v. hirsuta",,1,,"70L"
"Alnus japonica",,1,,"no germ"
"Alnus maritima",,1,,"no germ"
"Alnus rugosa",,1,,"OT"
"Alnus serrulata",,1,,"40-70D"
"Alonsoa linearis","B",,,70
"Alonsoa meridionalis",,,2,"70L"
"Alonsoa warscewiczii",,,2,"70L"
"Alonsoa warscewiczii","B",,,"70D"
"Alophia drummondi",,,2,"70L (8w)- 70D"
"Alophia drummondi","B",,,"70-40-70"
"Alophia lahue",,,2,"70L (8w)- 70D"
"Alstroemeria (hybrids)","B",,,70
"Alstroemeria aurantiaca","B",,,70
"Alstroemeria aurea","B",,,"70 4 w, 40"
"Alstroemeria garaventae",,,2,"70D (4w)-40"
"Alstroemeria haemantha","B",,,70
"Alstroemeria ligtu",,,2,"70D-40-70D-40"
"Alstroemeria pallida","B",,,"70 4 w, 40"
"Alstroemeria sp.","B",,,"70 4 w, 40"
"Alstroemeria umbellata","B",,,40
"Althaea hirsuta",,,2,"puncture, 70"
"Althaea hirsuta",,1,,"puncture, 70"
"Althaea officinalis ",,1,,"D-70"
"Althaea rosea",,,2,60
"Alyssoides utriculata","B",,,"70D"
"Alyssum saxatile",,,2,"70D"
"Alyssum saxatile","B",,,"D-70"
"Alyssum sp.",,,2,"50-85DorL"
"Amaranthus caudatus",,,2,"70L"
"Amaranthus cruentus",,1,,70
"Amaranthus hypochondriacus",,1,,70
"Ambrosia mexicana",,,2,"70L"
"Amelanchier alnifolia ","B",,,"comment"
"Amelanchier canadensis","B",,,"comment"
"Amelanchier grandiflora",,,2,"70D-40-70D-40-70D"
"Amelanchier grandiflora",,1,,"WC 7 d, 40-70"
"Amelanchier laevis",,,2,"70D-40-70D-40"
"Amelanchier laevis",,1,,"WC 7 d, 70-40-70-40"
"Amelanchier sanguinea",,1,,"WC 7 d, 40-70-40-70"
"Amelanchier stolonifera",,,2,"70D-40-70D-40-70D"
"Amelanchier stolonifera",,1,,"WC 7 d, 40-70"
"Amethystia caerulea",,1,,"70D"
"Ammi majus",,1,,"70D"
"Ammi visnaga",,1,,"D-70"
"Amorpha fruticosa",,,2,"DS 4 y = dead"
"Amorpha fruticosa",,1,,"puncture, 70"
"Amsonia jonesii",,1,,"40-70D"
"Amsonia montana","B",,,70
"Amsonia tabernaemontana","B",,,"40-70"
"Amsonia tomentosa",,,2,"70D"
"Amsonia tomentosa",,1,,"70D"
"Anacampseros ruffescens",,1,,"70L"
"Anacyclus depressus","B",,,70
"Anagallis arvensis",,1,,"60-65"
"Anagallis linifolia",,,2,"70D"
"Anagallis linifolia",,1,,"70D"
"Anaphalis triplinervis","B",,,70
"Anaphalis virgata","B",,,70
"Anchusa angutissima",,1,,"70L"
"Anchusa azurea","B",,,"70L"
"Anchusa azurea ",,1,,70
"Anchusa officinalis",,,2,"70D"
"Anchusa officinalis",,1,,"70D"
"Ancistrocactus brevinamatus",,"1c",,"70 GA-3"
"Ancistrocactus scheeri",,"1c",,70
"Androcymbium rechingeri","B",,,"70-40"
"Androcymbium striatum",,,2,"70D"
"Andropogon gerardii","Bg",,,"D-70"
"Andropogon scoparia","Bg",,,"D-70"
"Androsace alpina","B",,,70
"Androsace armeniaca","B",,,70
"Androsace barbulata","B",,,70
"Androsace carnea",,,2,40
"Androsace chamaejasme ssp. carinata","B",,,70
"Androsace charpentieri","B",,,"OT"
"Androsace cylindrica","B",,,"OT"
"Androsace elongata","B",,,70
"Androsace geraniifolia","B",,,70
"Androsace hedreantha","B",,,"OT"
"Androsace kochii ssp. tauricola","B",,,70
"Androsace lactea","B",,,"40-70-40-70"
"Androsace lanuginosa","B",,,70
"Androsace mucronifolia","B",,,"40-70"
"Androsace multiscapa","B",,,"70L"
"Androsace muscoides","B",,,70
"Androsace obtusifolia","B",,,40
"Androsace rotundifolia","B",,,70
"Androsace sempervivoides","B",,,70
"Androsace septentrionalis","B",,,70
"Androsace sericea","B",,,"40-70"
"Androsace spinulifera","B",,,70
"Androsace studiosorum","B",,,"40-70"
"Androsace vandellii","B",,,70
"Androsace villosa","B",,,70
"Androsace villosa v. congesta","B",,,"40-70"
"Androstephium breviflorum","B",,,40
"Andryala agardhii","B",,,70
"Anelsonia eurycarpa",,,2,"rotted"
"Anemonastrum fasculatum v. roseum","B",,,"40-70-40"
"Anemonastrum protractum","B",,,"OT"
"Anemonastrum speciosum","B",,,"rotted"
"Anemone altaica","B",,,70
"Anemone baicalensis","B",,,70
"Anemone baldensis","B",,,70
"Anemone biamiensis","B",,,70
"Anemone biflora","B",,,"no germ"
"Anemone blanda","B",,,"40-70-40"
"Anemone caucasica","B",,,"rotted"
"Anemone crinita","B",,,"D-70"
"Anemone cylindrica","B",,,"D-70"
"Anemone demissa","B",,,70
"Anemone drummondi","B",,,70
"Anemone fasciculata","B",,,70
"Anemone fasciculatum v. roseum","B",,,"40-70-40"
"Anemone japonica",,1,,"no germ"
"Anemone kurilensis","B",,,"clean, 70"
"Anemone lesseri","B",,,"70D"
"Anemone loesseri rubra","B",,,70
"Anemone magellanica",,,2,"DS 3 y = dead"
"Anemone multifida",,,2,"70D"
"Anemone narcissiflora","B",,,"OT"
"Anemone narcissiflora 'zephyra'","B",,,70
"Anemone nemorosa",,,2,"comment"
"Anemone nemorosa",,1,,"70-40"
"Anemone nemorosa","B",,,"rotted"
"Anemone obtusiloba","B",,,"rotted"
"Anemone occidentalis",,,2,"70D"
"Anemone occidentalis","B",,,70
"Anemone palmata","B",,,70
