Abeliophyllum distichum
Abies alba
Abies amabilis
Abies boris-regis
Abies cephalonica
Abies cilicica
Abies equi-trojani
Abies fabri
Abies firma
Abies holophylla
Abies koreana
Abies nephrolepsiis
Abies nordmanniana
Abies pindrow
Abies recurvata
Abies religiosa
Abies veitchii
Abronia fragrans
Abronia villosa
Abutilon (hybrids)
Abutilon theophrasti
Abutilon vitifolium
Acacia cyanophylla
Acacia dealbata
Acacia iteophylla
Acaena anserinifolia
Acaena caesiiglauca
Acaena inermis
Acaena microphylla
Acaena nova-zelandiae
Acaena saccaticupula
Acaena splendens
Acanthocalycium peitscherianum
Acanthocalycium spiniflorum
Acanthocalycium violaceum
Acantholimon araxanum
Acantholimon armenum
Acantholimon bracteatum
Acantholimon caryophyllaceum
Acantholimon diapensoides
Acantholimon glumaceum
Acantholimon hedinum
Acantholimon hilariae
Acantholimon litvinovii
Acantholimon pamiricum
Acantholimon parviflorum
Acantholimon pterostegium
Acantholimon puberulum
Acantholimon pulchellum
Acantholimon raddeanum
Acantholimon reflexifolium
Acantholimon spirizianum
Acantholimon ulcinum
Acantholimon vedicum
Acantholimon velutinum
Acantholimon venustum
Acanthophyllum glandulosum
Acanthophyllum gypsophiloides
Acanthophyllum macrocephalum
Acanthophyllum pungens
Acanthophyllum shugnanicum
Acanthophyllum sordidum
Acanthus balcanicus
Acanthus mollis
Acer buergerianum
Acer crataegifolium
Acer ginnala v. aidzvense
Acer ginnala
Acer griseum
Acer heldreichii
Acer japonicum
Acer negundo
Acer nikoense
Acer pennsylvanicum
Acer platanoides
Acer pseudoplatanus 
Acer pseudoplatanus
Acer pseudosieboldiana
Acer rubrum
Acer saccharinum
Acer saccharum
Acer semenovii
Acer spicatum 
Acer tataricum
Acer truncatum
Achillea millefolium
Achlys triphylla 
Acidanthera bicolor
Acinos alpinus
Aciphylla aurea
Aciphylla dobsonii
Aciphylla hectori
Aciphylla monroi
Ackama roseifolia
Acnistus australis
Aconitum ajanense
Aconitum apetalum
Aconitum ferox
Aconitum firmum
Aconitum heterophyllum
Aconitum lycoctorum
Aconitum macrostynchium
Aconitum napellus
Aconitum nasutum
Aconitum orientale
Aconitum pubiceps
Aconitum raddeanum
Aconitum variagatum
Aconitum volubile
Aconitum vulparia
Aconitum wilsoni
Actaea erythrocarpa
Actaea pachypoda
Actaea rubra
Actaea spicata
Actinidia chinensis
Actinomeris alternifolia
Actinotus helianthii
Adenium obesum
Adenophora farreri
Adenophora koreana
Adenophora kurilensis
Adenophora lilifolia
Adenophora potanini
Adenophora tashiroi
Adenostoma facsiculatum
Adlumia fungosa
Adonis aestivalis
Adonis amurensis
Adonis brevistylis
Adonis chrysocyathus
Adonis pyrenaica
Adonis turkestanica
Adonis vernalis
Aeniopsis cabolica
Aeonium simsii
Aeonium tabuliforme
Aesculus discolor
Aesculus glabra
Aesculus hippocastanum
Aesculus octandra
Aesculus parviflora serotina
Aesculus parviflora
Aesculus pavia
Aesculus sylvatica
Aesculus turbinata tomentosa (A. chinensis)
Aesculus turbinata
Aesculus x carnea
Aethephyllum pinnatifidum
Aethionema grandiflorum
Aethiopsis cabolica
Agalinis setacea
Agapanthus africanus
Agastache anisata
Agastache foeniculum
Agastache fragrans
Agastache nepetoides
Agastache occidentalis
Agastache scrophulariaefolia
Agastache urticifolium
Agathosma ovata
Agave (Manfreda) virginica
Ageratina occidentale
Ageratum sp.
Agrimonia eupatoria
Agrophyron pubiflorum
Agrophyron scabrum
Agrostemma githago
Agrostemma tinicola
Agrostocrinum scabrum
Aichryson divaricatum
Ailanthus altissima
Ajania tibetica
Ajuga chamaepitys
Akebia quinata
Alangium platanifolium
Albizzia julibrissin
Albuca aurea 
Albuca aurea
Albuca canadensis
Albuca humilis
Albuca longifolia
Albuca shawii
Albuca sp.
Alcea ficifolia
Alcea rosea
Alchemilla alpina
Alchemilla faeronensis
Alchemilla mollis
Alchemilla saxatilis
Alchemilla vulgaris
Aletes humilis
Aletris farinosa
Alisma plantago-aquatica
Allardia tridactylites
Allium aff. farreri
Allium alba
Allium albopilosum
Allium azureum
Allium cernuum
Allium christophii
Allium falcifolium
Allium flavum
Allium giganteum
Allium goodingii
Allium karataviense
Allium moly
Allium pulchellum 
Allium pulchellum
Allium schubertii
Allium tanguticum
Allium tricoccum
Allium unifolium
Allium vulgaris
Alnus crispa
Alnus glutinosa
Alnus hirsuta v. hirsuta
Alnus japonica
Alnus maritima
Alnus rugosa
Alnus serrulata
Alonsoa linearis
