Seed #,Genus/species,Description,Origin
1,Abies koreana,purple-blue cones 10-18m 58,G
2,Acantholimon hohenackeri,pink flr/blue-grey lvs 5-10cm 156,G
3,Acantholimon sp,156,G
4,Acantholimon sp,silver lvs 156,G
5,Acantholimon ulicinum,bright pink 10cm 156,G
6,Acantholimon venustum,deep pink flr/grey-green lvs 10-15cm 156,G
7,Acer campestre 'Magic Spring',variegated lvs 33,G
8,Acer griseum,6-9m 115,G
9,Acer pensylvanicum,striped bark 5-10m 181,G
10,Acer pictum,to 20m 181,G
11,Acer shirasawanum 'Ogurayama',2-3m 91,G
12,Acer tegmentosum 'Joe Witt',white striped bark 6-9m 33,G
13,Achillea abrotanoides,white flr/grey-green lvs 20-40cm 32,G
14,Achillea aleppica ssp zederbaueri,white-yellow flr/grey lvs 5-15cm 32 100,G
15,Achillea clusiana,white 38,G
16,Achillea clypeolata,yellow flr/grey felted lvs 45-60cm 56,G
17,Achillea lewisii (x) 'King Edward',pale yellow flr/woolly lvs 15-25cm 147,G
18,Achillea tomentosa,yellow flr/woolly lvs 15-30cm 95,G
19,Acis autumnalis,white/pinkish base 7-15cm 73 85,G
20,Acis nicaeensis,white 5-18cm 57 63,G
21,Aconitum anthora,yellow 25-100cm 98,G
22,Aconitum krylovii,cream-yellow 30-130cm 64 136,G
23,Aconitum lamarckii,cream-yellow 90-120cm 128,G
24,Aconitum sinomontanum,blue-purple/pale blue 95-150cm 178,G
25,Aconitum uncinatum,blue 30-250cm 136,G
26,Actaea dahurica,cream to 1m 113 183,G
27,Actaea elata,white/pinkish 120-180cm 127 134,G
28,Actaea japonica 'Silver Blush',white flr/silver new lvs 75cm 170,G
29,Actaea pachypoda,white flr/white frt 45-60cm >,G
30,Actaea pachypoda f rubrocarpa,white flr/red-pink frt 60-90cm 6 118,G
31,Actaea pachypoda 'Misty Blue',white flr & frt/blue-green lvs 60-90cm 101,G
32,Actaea racemosa (cf),white 75-250cm 169,G
33,Actaea rubra,white flr/red frt 40-80cm 27 118 188,G
34,Actaea simplex Atropurpurea Group,white-pale pink flr/dark purple lvs 120-180cm 175 5,G
35,Actaea simplex 'Black Negligee',white flr/purple-black lvs 1.2-1.5m 113,G
36,Actaea simplex 'Brunette',white flr/dark purple stems & lvs 90-120cm 178,G
37,Actaea spicata,white flr/black frt 30-70cm 118,G
38,Adenophora triphylla v japonica,blue 40-100cm 153,G
39,Adiantum caudatum,to 30cm 82,G
40,Adlumia fungosa,pale lavender-pink 0.5-4m 175,G
41,Adlumia fungosa,white/pale pink-purple 0.5-4m 6 113 146,G
42,Adonis aestivalis,red 20-50cm 26,G
43,Aeonium canariense v virgineum,yellow 30cm 121,G
44,Aeonium nobile,red 30-75cm 121,G
45,Aeonium tabuliforme,yellow 2-5cm lvs/60cm flr 156,G
46,Aethionema capitatum,pink 5-15cm 34 144,G
47,Aethionema glaucinum,pink 5-10cm 100 144,G
48,Aethionema grandiflorum,pink flr/blue-grey lvs 15-30cm >,G
49,Aethionema kotschyi (hort),pink 10-15cm 30,G
50,Aethionema saxatile,pink-white flr/blue-green lvs 5-25cm 169,G
51,Aethionema schistosum,pink 13-18cm 57,G
52,Aethionema sp,pink 6cm 57,G
53,Aethionema subulatum,pink 5-10cm 112,G
54,Aethionema 'Warley Rose',rose-pink to 20cm 77,G
55,Agastache 'Astello Indigo',deep indigo blue 50cm 155,G
56,Agastache sp.,pink 150cm 156,G
57,Agave bracteosa,white-pale yellow 45cm/1.8m scape 170,G
58,Agave parryi ssp neomexicana,yellowish green flr/blue-green lvs 45cm lvs/4.5m flr 156,G
59,Agave univittata,greenish white-yellowish green 30-40cm lvs/3-5m flr 170,G
60,Agrostemma githago (PI),pink to 1m 2,G
61,Albuca humilis,white/green stripe to 10cm 30 111 122,G
62,Albuca shawii,yellow to 30cm 30 74,G
