"item","taxon","description","origin"
19,"Acis autumnalis","white/pinkish base 7-15cm 73 85","G"
20,"Acis nicaeensis","white 5-18cm 57 63","G"
26,"Actaea dahurica","cream to 1m 113 183","G"
27,"Actaea elata","white/pinkish 120-180cm 127 134","G"
28,"Actaea japonica 'Silver Blush'","white flr/silver new lvs 75cm 170","G"
29,"Actaea pachypoda","white flr/white frt 45-60cm >","G"
31,"Actaea pachypoda 'Misty Blue'","white flr & frt/blue-green lvs 60-90cm 101","G"
30,"Actaea pachypoda f rubrocarpa","white flr/red-pink frt 60-90cm 6 118","G"
32,"Actaea racemosa (cf)","white 75-250cm 169","G"
33,"Actaea rubra","white flr/red frt 40-80cm 27 118 188","G"
3002,"Actaea rubra","white 90cm Oregon: Wrangle Gap 1890m 127","W"
3003,"Actaea rubra (moist packed)","white flr/red frt 61cm Massachusetts: Egremont 54","W"
35,"Actaea simplex 'Black Negligee'","white flr/purple-black lvs 1.2-1.5m 113","G"
36,"Actaea simplex 'Brunette'","white flr/dark purple stems & lvs 90-120cm 178","G"
34,"Actaea simplex Atropurpurea Group","white-pale pink flr/dark purple lvs 120-180cm 175 5","G"
37,"Actaea spicata","white flr/black frt 30-70cm 118","G"
3406,"Actaea spicata","black frt 50cm Norway: Harstad  188","W"
43,"Aeonium canariense v virgineum","yellow 30cm 121","G"
44,"Aeonium nobile","red 30-75cm 121","G"
45,"Aeonium tabuliforme","yellow 2-5cm lvs/60cm flr 156","G"
61,"Albuca humilis","white/green stripe to 10cm 30 111 122","G"
62,"Albuca shawii","yellow to 30cm 30 74","G"
66,"Allium acuminatum","pink-rose purple 10-35cm 64","G"
3009,"Allium acuminatum","hot pink, some white 20cm Colorado: Mesa Co 78","W"
3010,"Allium acuminatum","purply-pink 20cm Oregon: W of Shaniko 64","W"
67,"Allium aflatunense","purplish-pink to 90cm 42","G"
68,"Allium amplectens","white 15-50cm 139","G"
3011,"Allium amplectens","white/lilac centers 15-25cm California: Inner North Coast Ranges, Lake Co 695m 175","W"
69,"Allium atropurpureum","deep blackish-purple 60-100cm 5","G"
3012,"Allium atrosanguineum","Kazakhstan: Trans-Ili Ala-Tau 174","W"
