bx_id,date_open,n_items_all,n_items_seed,n_items_bulb
BX 301,2011-12-31,0,0,0
BX 301,2011-12-31,19,13,6
BX 301,2011-12-31,0,0,0
BX 302,2012-02-01,0,0,0
BX 302,2012-02-01,23,19,4
BX 302,2012-02-01,0,0,0
BX 303,2012-02-17,0,0,0
BX 303,2012-02-17,27,25,2
BX 303,2012-02-17,0,0,0
BX 304,2012-03-09,0,0,0
BX 304,2012-03-09,23,15,8
BX 304,2012-03-09,0,0,0
BX 305,2012-03-22,0,0,0
BX 305,2012-03-22,21,14,7
BX 305,2012-03-22,0,0,0
BX 306,2012-04-01,0,0,0
BX 306,2012-04-01,15,12,3
BX 306,2012-04-01,0,0,0
BX 307,2012-04-09,0,0,NULL
BX 307,2012-04-09,18,18,NULL
BX 307,2012-04-09,0,0,NULL
BX 308,2012-04-26,0,0,0
BX 308,2012-04-26,27,16,11
BX 308,2012-04-26,0,0,0
BX 309,2012-05-06,0,0,0
BX 309,2012-05-06,21,15,6
BX 309,2012-05-06,0,0,0
BX 310,2012-05-17,0,0,0
BX 310,2012-05-17,11,5,6
BX 310,2012-05-17,0,0,0
BX 311,2012-05-28,0,0,0
BX 311,2012-05-28,16,13,3
BX 311,2012-05-28,0,0,0
BX 312,2012-06-05,0,NULL,0
BX 312,2012-06-05,2,NULL,2
BX 312,2012-06-05,0,NULL,0
BX 313,2012-06-08,0,0,NULL
BX 313,2012-06-08,27,27,NULL
BX 313,2012-06-08,0,0,NULL
BX 314,2012-06-22,0,0,0
BX 314,2012-06-22,27,4,23
BX 314,2012-06-22,0,0,0
BX 315,2012-06-27,0,0,NULL
BX 315,2012-06-27,10,10,NULL
BX 315,2012-06-27,0,0,NULL
BX 316,2012-06-30,0,0,0
BX 316,2012-06-30,6,1,5
BX 316,2012-06-30,0,0,0
BX 317,2012-07-04,0,0,NULL
BX 317,2012-07-04,42,42,NULL
BX 317,2012-07-04,0,0,NULL
BX 318,2012-07-19,0,NULL,0
BX 318,2012-07-19,30,NULL,30
BX 318,2012-07-19,0,NULL,0
BX 319,2012-07-29,0,NULL,0
BX 319,2012-07-29,19,NULL,19
BX 319,2012-07-29,0,NULL,0
BX 320,2012-08-09,0,0,0
BX 320,2012-08-09,42,41,1
BX 320,2012-08-09,0,0,0
BX 321,2012-08-23,0,NULL,0
BX 321,2012-08-23,30,NULL,30
BX 321,2012-08-23,0,NULL,0
BX 322,2012-09-06,0,0,0
BX 322,2012-09-06,31,30,1
BX 322,2012-09-06,0,0,0
BX 323,2012-09-18,0,0,NULL
BX 323,2012-09-18,34,34,NULL
BX 323,2012-09-18,0,0,NULL
BX 324,2012-09-25,0,NULL,0
BX 324,2012-09-25,15,NULL,15
BX 324,2012-09-25,0,NULL,0
BX 325,2012-10-01,0,0,NULL
BX 325,2012-10-01,51,51,NULL
BX 325,2012-10-01,0,0,NULL
BX 326,2012-10-13,0,NULL,0
BX 326,2012-10-13,22,NULL,22
BX 326,2012-10-13,0,NULL,0
BX 327,2012-10-25,0,0,0
BX 327,2012-10-25,24,22,2
BX 327,2012-10-25,0,0,0
BX 328,2012-11-08,0,0,0
BX 328,2012-11-08,22,18,4
BX 328,2012-11-08,0,0,0
BX 329,2012-11-25,0,0,0
BX 329,2012-11-25,26,24,2
BX 329,2012-11-25,0,0,0
BX 330,2012-12-01,0,0,0
BX 330,2012-12-01,42,40,2
BX 330,2012-12-01,0,0,0
BX 331,2012-12-11,0,0,0
BX 331,2012-12-11,11,9,2
BX 331,2012-12-11,0,0,0
BX 332,2013-01-22,0,0,0
BX 332,2013-01-22,15,14,1
BX 332,2013-01-22,0,0,0
BX 333,2013-02-22,0,0,0
BX 333,2013-02-22,26,20,6
BX 333,2013-02-22,0,0,0
BX 334,2013-03-20,0,0,0
BX 334,2013-03-20,21,19,2
BX 334,2013-03-20,0,0,0
BX 335,2013-04-01,0,0,0
BX 335,2013-04-01,23,20,3
BX 335,2013-04-01,0,0,0
BX 336,2013-04-18,0,0,0
BX 336,2013-04-18,17,5,12
BX 336,2013-04-18,0,0,0
BX 337,2013-05-05,0,0,0
BX 337,2013-05-05,18,10,8
BX 337,2013-05-05,0,0,0
BX 338,2013-05-15,0,0,0
BX 338,2013-05-15,33,6,27
BX 338,2013-05-15,0,0,0
BX 339,2013-05-28,0,0,0
BX 339,2013-05-28,21,8,13
BX 339,2013-05-28,0,0,0
BX 340,2013-07-03,0,0,0
BX 340,2013-07-03,16,9,7
BX 340,2013-07-03,0,0,0
BX 341,2013-07-22,0,0,0
BX 341,2013-07-22,40,35,5
BX 341,2013-07-22,0,0,0
BX 342,2013-08-12,0,0,0
BX 342,2013-08-12,18,1,17
BX 342,2013-08-12,0,0,0
BX 343,2013-08-21,0,0,0
BX 343,2013-08-21,22,21,1
BX 343,2013-08-21,0,0,0
BX 344,2013-09-01,0,NULL,0
BX 344,2013-09-01,26,NULL,26
BX 344,2013-09-01,0,NULL,0
BX 345,2013-09-06,0,0,0
BX 345,2013-09-06,41,7,34
BX 345,2013-09-06,0,0,0
BX 346,2013-09-16,0,0,0
BX 346,2013-09-16,39,23,16
BX 346,2013-09-16,0,0,0
BX 347,2013-09-25,0,0,NULL
BX 347,2013-09-25,41,41,NULL
BX 347,2013-09-25,0,0,NULL
BX 348,2013-09-30,0,0,0
BX 348,2013-09-30,40,7,33
BX 348,2013-09-30,0,0,0
BX 349,2013-10-07,0,0,NULL
BX 349,2013-10-07,55,55,NULL
BX 349,2013-10-07,0,0,NULL
BX 350,2013-10-14,0,0,NULL
BX 350,2013-10-14,71,71,NULL
BX 350,2013-10-14,0,0,NULL
BX 351,2013-10-23,0,NULL,0
BX 351,2013-10-23,36,NULL,36
BX 351,2013-10-23,0,NULL,0
BX 352,2013-11-02,0,0,0
BX 352,2013-11-02,36,34,2
BX 352,2013-11-02,0,0,0
BX 353,2013-11-13,0,0,0
BX 353,2013-11-13,29,15,14
BX 353,2013-11-13,0,0,0
BX 354,2013-12-01,0,0,0
BX 354,2013-12-01,18,16,2
BX 354,2013-12-01,0,0,0
BX 355,2013-12-10,0,0,0
BX 355,2013-12-10,12,5,7
BX 355,2013-12-10,0,0,0
BX 356,2014-01-22,0,0,0
BX 356,2014-01-22,13,12,1
BX 356,2014-01-22,0,0,0
BX 357,2014-03-26,0,0,0
BX 357,2014-03-26,32,22,10
BX 357,2014-03-26,0,0,0
BX 358,2014-04-12,0,0,NULL
BX 358,2014-04-12,34,34,NULL
BX 358,2014-04-12,0,0,NULL
BX 359,2014-04-26,0,NULL,0
BX 359,2014-04-26,12,NULL,12
BX 359,2014-04-26,0,NULL,0
BX 360,2014-05-05,0,0,NULL
BX 360,2014-05-05,20,20,NULL
BX 360,2014-05-05,0,0,NULL
BX 361,2014-05-16,0,0,0
BX 361,2014-05-16,30,11,19
BX 361,2014-05-16,0,0,0
BX 362,2014-05-28,0,NULL,0
BX 362,2014-05-28,14,NULL,14
BX 362,2014-05-28,0,NULL,0
BX 363,2014-06-11,0,0,NULL
BX 363,2014-06-11,20,20,NULL
BX 363,2014-06-11,0,0,NULL
BX 364,2014-07-01,0,NULL,0
BX 364,2014-07-01,25,NULL,25
BX 364,2014-07-01,0,NULL,0
BX 365,2014-07-19,0,0,NULL
BX 365,2014-07-19,10,10,NULL
BX 365,2014-07-19,0,0,NULL
BX 366,2014-08-04,0,NULL,0
BX 366,2014-08-04,34,NULL,34
BX 366,2014-08-04,0,NULL,0
BX 367,2014-08-08,0,NULL,0
BX 367,2014-08-08,29,NULL,29
