"bx_id","date_open","n_items"
"BX 300","2011-12-17","0"
"BX 300","2011-12-17","1"
"BX 300","2011-12-17","0"
"BX 301","2011-12-31","0"
"BX 301","2011-12-31","19"
"BX 301","2011-12-31","0"
"BX 302","2012-02-01","0"
"BX 302","2012-02-01","23"
"BX 302","2012-02-01","0"
"BX 303","2012-02-17","0"
"BX 303","2012-02-17","27"
"BX 303","2012-02-17","0"
"BX 304","2012-03-09","0"
"BX 304","2012-03-09","23"
"BX 304","2012-03-09","0"
"BX 305","2012-03-22","0"
"BX 305","2012-03-22","21"
"BX 305","2012-03-22","0"
"BX 306","2012-04-01","0"
"BX 306","2012-04-01","15"
"BX 306","2012-04-01","0"
"BX 307","2012-04-09","0"
"BX 307","2012-04-09","18"
"BX 307","2012-04-09","0"
"BX 308","2012-04-26","0"
"BX 308","2012-04-26","27"
"BX 308","2012-04-26","0"
"BX 309","2012-05-06","0"
"BX 309","2012-05-06","21"
"BX 309","2012-05-06","0"
"BX 310","2012-05-17","0"
"BX 310","2012-05-17","11"
"BX 310","2012-05-17","0"
"BX 311","2012-05-28","0"
"BX 311","2012-05-28","16"
"BX 311","2012-05-28","0"
"BX 312","2012-06-05","0"
"BX 312","2012-06-05","2"
"BX 312","2012-06-05","0"
"BX 313","2012-06-08","0"
"BX 313","2012-06-08","27"
"BX 313","2012-06-08","0"
"BX 314","2012-06-22","0"
"BX 314","2012-06-22","27"
"BX 314","2012-06-22","0"
"BX 315","2012-06-27","0"
"BX 315","2012-06-27","10"
"BX 315","2012-06-27","0"
"BX 316","2012-06-30","0"
"BX 316","2012-06-30","6"
"BX 316","2012-06-30","0"
"BX 317","2012-07-04","0"
"BX 317","2012-07-04","42"
"BX 317","2012-07-04","0"
"BX 318","2012-07-19","0"
"BX 318","2012-07-19","30"
"BX 318","2012-07-19","0"
"BX 319","2012-07-29","0"
"BX 319","2012-07-29","19"
"BX 319","2012-07-29","0"
"BX 320","2012-08-09","0"
"BX 320","2012-08-09","42"
"BX 320","2012-08-09","0"
"BX 321","2012-08-23","0"
"BX 321","2012-08-23","30"
"BX 321","2012-08-23","0"
"BX 322","2012-09-06","0"
"BX 322","2012-09-06","31"
"BX 322","2012-09-06","0"
"BX 323","2012-09-18","0"
"BX 323","2012-09-18","34"
"BX 323","2012-09-18","0"
"BX 324","2012-09-25","0"
"BX 324","2012-09-25","15"
"BX 324","2012-09-25","0"
"BX 325","2012-10-01","0"
"BX 325","2012-10-01","51"
"BX 325","2012-10-01","0"
"BX 326","2012-10-13","0"
"BX 326","2012-10-13","22"
"BX 326","2012-10-13","0"
"BX 327","2012-10-25","0"
"BX 327","2012-10-25","24"
"BX 327","2012-10-25","0"
"BX 328","2012-11-08","0"
"BX 328","2012-11-08","22"
"BX 328","2012-11-08","0"
"BX 329","2012-11-25","0"
"BX 329","2012-11-25","26"
"BX 329","2012-11-25","0"
"BX 330","2012-12-01","0"
"BX 330","2012-12-01","42"
"BX 330","2012-12-01","0"
"BX 331","2012-12-11","0"
"BX 331","2012-12-11","11"
"BX 331","2012-12-11","0"
"BX 332","2013-01-22","0"
"BX 332","2013-01-22","15"
"BX 332","2013-01-22","0"
"BX 333","2013-02-22","0"
"BX 333","2013-02-22","26"
"BX 333","2013-02-22","0"
"BX 334","2013-03-20","0"
"BX 334","2013-03-20","21"
"BX 334","2013-03-20","0"
"BX 335","2013-04-01","0"
"BX 335","2013-04-01","23"
"BX 335","2013-04-01","0"
"BX 336","2013-04-18","0"
"BX 336","2013-04-18","17"
"BX 336","2013-04-18","0"
"BX 337","2013-05-05","0"
"BX 337","2013-05-05","18"
"BX 337","2013-05-05","0"
"BX 338","2013-05-15","0"
"BX 338","2013-05-15","33"
"BX 338","2013-05-15","0"
"BX 339","2013-05-28","0"
"BX 339","2013-05-28","21"
"BX 339","2013-05-28","0"
"BX 340","2013-07-03","0"
"BX 340","2013-07-03","16"
"BX 340","2013-07-03","0"
"BX 341","2013-07-22","0"
"BX 341","2013-07-22","40"
"BX 341","2013-07-22","0"
"BX 342","2013-08-12","0"
"BX 342","2013-08-12","18"
"BX 342","2013-08-12","0"
"BX 343","2013-08-21","0"
"BX 343","2013-08-21","22"
"BX 343","2013-08-21","0"
"BX 344","2013-09-01","0"
"BX 344","2013-09-01","26"
"BX 344","2013-09-01","0"
"BX 345","2013-09-06","0"
"BX 345","2013-09-06","41"
"BX 345","2013-09-06","0"
"BX 346","2013-09-16","0"
"BX 346","2013-09-16","39"
"BX 346","2013-09-16","0"
"BX 347","2013-09-25","0"
"BX 347","2013-09-25","41"
"BX 347","2013-09-25","0"
"BX 348","2013-09-30","0"
"BX 348","2013-09-30","40"
"BX 348","2013-09-30","0"
"BX 349","2013-10-07","0"
"BX 349","2013-10-07","55"
"BX 349","2013-10-07","0"
"BX 350","2013-10-14","0"
"BX 350","2013-10-14","71"
"BX 350","2013-10-14","0"
"BX 351","2013-10-23","0"
"BX 351","2013-10-23","36"
"BX 351","2013-10-23","0"
"BX 352","2013-11-02","0"
"BX 352","2013-11-02","36"
"BX 352","2013-11-02","0"
"BX 353","2013-11-13","0"
"BX 353","2013-11-13","29"
"BX 353","2013-11-13","0"
"BX 354","2013-12-01","0"
"BX 354","2013-12-01","18"
"BX 354","2013-12-01","0"
"BX 355","2013-12-10","0"
"BX 355","2013-12-10","12"
"BX 355","2013-12-10","0"
"BX 356","2014-01-22","0"
"BX 356","2014-01-22","13"
"BX 356","2014-01-22","0"
"BX 357","2014-03-26","0"
"BX 357","2014-03-26","32"
"BX 357","2014-03-26","0"
"BX 358","2014-04-12","0"
"BX 358","2014-04-12","34"
"BX 358","2014-04-12","0"
"BX 359","2014-04-26","0"
"BX 359","2014-04-26","12"
"BX 359","2014-04-26","0"
"BX 360","2014-05-05","0"
"BX 360","2014-05-05","20"
"BX 360","2014-05-05","0"
"BX 361","2014-05-16","0"
"BX 361","2014-05-16","30"
"BX 361","2014-05-16","0"
"BX 362","2014-05-28","0"
"BX 362","2014-05-28","14"
"BX 362","2014-05-28","0"
"BX 363","2014-06-11","0"
"BX 363","2014-06-11","20"
"BX 363","2014-06-11","0"
"BX 364","2014-07-01","0"
"BX 364","2014-07-01","25"
"BX 364","2014-07-01","0"
"BX 365","2014-07-19","0"
"BX 365","2014-07-19","10"
"BX 365","2014-07-19","0"
"BX 366","2014-08-04","0"
"BX 366","2014-08-04","34"
"BX 366","2014-08-04","0"
"BX 367","2014-08-08","0"
"BX 367","2014-08-08","29"
"BX 367","2014-08-08","0"
"BX 368","2014-08-17","0"
"BX 368","2014-08-17","28"
"BX 368","2014-08-17","0"
"BX 369","2014-09-02","0"
"BX 369","2014-09-02","23"
"BX 369","2014-09-02","0"
"BX 370","2014-09-15","0"
"BX 370","2014-09-15","27"
"BX 370","2014-09-15","0"
"BX 371","2014-10-03","0"
"BX 371","2014-10-03","25"
"BX 371","2014-10-03","0"
"BX 372","2014-11-08","0"
"BX 372","2014-11-08","21"
"BX 372","2014-11-08","0"
"BX 373","2014-12-28","0"
"BX 373","2014-12-28","7"
"BX 373","2014-12-28","0"
"BX 374","2015-03-26","0"
"BX 374","2015-03-26","7"
"BX 374","2015-03-26","0"
"BX 375","2015-04-06","0"
"BX 375","2015-04-06","13"
"BX 375","2015-04-06","0"
"BX 376","2015-04-20","0"
"BX 376","2015-04-20","16"
"BX 376","2015-04-20","0"
"BX 377","2015-04-26","0"
"BX 377","2015-04-26","7"
"BX 377","2015-04-26","0"
"BX 378","2015-05-15","0"
"BX 378","2015-05-15","17"
"BX 378","2015-05-15","0"
"BX 379","2015-06-04","0"
"BX 379","2015-06-04","8"
"BX 379","2015-06-04","0"
"BX 380","2015-06-20","0"
"BX 380","2015-06-20","5"
"BX 380","2015-06-20","0"
"BX 381","2015-07-12","0"
"BX 381","2015-07-12","18"
"BX 381","2015-07-12","0"
"BX 382","2015-07-29","0"
"BX 382","2015-07-29","16"
"BX 382","2015-07-29","0"
"BX 383","2015-08-09","0"
"BX 383","2015-08-09","9"
"BX 383","2015-08-09","0"
"BX 384","2015-08-19","0"
"BX 384","2015-08-19","12"
"BX 384","2015-08-19","0"
"BX 385","2015-09-02","0"
"BX 385","2015-09-02","10"
"BX 385","2015-09-02","0"
"BX 386","2015-09-27","0"
"BX 386","2015-09-27","23"
"BX 386","2015-09-27","0"
"BX 387","2015-10-15","0"
"BX 387","2015-10-15","24"
"BX 387","2015-10-15","0"
"BX 388","2015-10-23","0"
"BX 388","2015-10-23","19"
"BX 388","2015-10-23","0"
"BX 389","2015-10-28","0"
"BX 389","2015-10-28","24"
"BX 389","2015-10-28","0"
"BX 390","2015-11-06","0"
"BX 390","2015-11-06","20"
"BX 390","2015-11-06","0"
"BX 391","2015-11-13","0"
"BX 391","2015-11-13","27"
"BX 391","2015-11-13","0"
"BX 392","2015-11-24","0"
"BX 392","2015-11-24","26"
"BX 392","2015-11-24","0"
"BX 393","2015-12-01","0"
"BX 393","2015-12-01","24"
"BX 393","2015-12-01","0"
"BX 394","2016-01-23","0"
"BX 394","2016-01-23","14"
"BX 394","2016-01-23","0"
"BX 395","2016-02-22","0"
"BX 395","2016-02-22","26"
"BX 395","2016-02-22","0"
"BX 396","2016-03-29","0"
"BX 396","2016-03-29","12"
"BX 396","2016-03-29","0"
"BX 397","2016-04-28","0"
"BX 397","2016-04-28","16"
"BX 397","2016-04-28","0"
"BX 398","2016-05-11","0"
"BX 398","2016-05-11","11"
"BX 398","2016-05-11","0"
"BX 399","2016-05-23","0"
"BX 399","2016-05-23","10"
"BX 399","2016-05-23","0"
"BX 400","2016-06-03","0"
"BX 400","2016-06-03","23"
"BX 400","2016-06-03","0"
"BX 401","2016-06-10","0"
"BX 401","2016-06-10","21"
"BX 401","2016-06-10","0"
"BX 402","2016-06-20","0"
"BX 402","2016-06-20","15"
"BX 402","2016-06-20","0"
"BX 403","2016-06-28","0"
"BX 403","2016-06-28","25"
"BX 403","2016-06-28","0"
"BX 404","2016-07-19","0"
"BX 404","2016-07-19","25"
"BX 404","2016-07-19","0"
"BX 405","2016-08-11","0"
"BX 405","2016-08-11","13"
"BX 405","2016-08-11","0"
"BX 406","2016-08-17","0"
"BX 406","2016-08-17","26"
"BX 406","2016-08-17","0"
"BX 407","2016-08-24","0"
"BX 407","2016-08-24","24"
"BX 407","2016-08-24","0"
"BX 408","2016-08-29","0"
"BX 408","2016-08-29","23"
"BX 408","2016-08-29","0"
"BX 409","2016-09-17","0"
"BX 409","2016-09-17","18"
"BX 409","2016-09-17","0"
"BX 410","2016-09-24","0"
"BX 410","2016-09-24","18"
"BX 410","2016-09-24","0"
"BX 411","2016-10-06","0"
"BX 411","2016-10-06","23"
"BX 411","2016-10-06","0"
"BX 412","2016-10-26","0"
"BX 412","2016-10-26","28"
"BX 412","2016-10-26","0"
"BX 413","2016-11-07","0"
"BX 413","2016-11-07","14"
"BX 413","2016-11-07","0"
"BX 414","2017-01-08","0"
"BX 414","2017-01-08","9"
"BX 414","2017-01-08","0"
"BX 415","2017-02-19","0"
