"n","f","taxon"
36,"Gesneriaceae","ACHIMENES 'Harry Williams'"
37,"Amaryllidaceae","ACIS autumnalis"
38,"Amaryllidaceae","ACIS autumnalis subsp. aportense"
39,"Amaryllidaceae","ACIS autumnalis subsp. oporantha"
40,"Amaryllidaceae","ACIS autumnalis subsp. oporantha f. dispathum"
41,"Amaryllidaceae","ACIS nicaeensis"
42,"Amaryllidaceae","ACIS rosea"
43,"Amaryllidaceae","ACIS tingitana"
44,"Amaryllidaceae","ACIS valentina"
81,"Ranunculaceae","ADONIS cyllenea"
82,"Ranunculaceae","ADONIS davidii"
83,"Ranunculaceae","ADONIS vernalis"
5018,"Ranunculaceae","ADONIS vernalis"
95,"Amaryllidaceae","AGAPANTHUS 'Cally Blue'"
96,"Amaryllidaceae","AGAPANTHUS 'Castle of Mey'"
97,"Amaryllidaceae","AGAPANTHUS 'Headbourne hybrids'"
98,"Amaryllidaceae","AGAPANTHUS campanulatus"
92,"Amaryllidaceae","AGAPANTHUS hyb. blue 45cm"
93,"Amaryllidaceae","AGAPANTHUS hyb. dark blue"
94,"Amaryllidaceae","AGAPANTHUS sp. blue"
114,"Asphodelaceae","ALBUCA canadensis"
115,"Asphodelaceae","ALBUCA humilis"
116,"Asphodelaceae","ALBUCA rupestris"
117,"Asphodelaceae","ALBUCA rupestris aff.  "
118,"Asphodelaceae","ALBUCA rupestris aff. JCA15856 white 15cm"
119,"Asphodelaceae","ALBUCA tenuifolia"
120,"Asphodelaceae","ALBUCA trichophylla"
130,"Amaryllidaceae","ALLIUM 'In Orbit'"
131,"Amaryllidaceae","ALLIUM 'Mount Everest'"
132,"Amaryllidaceae","ALLIUM acuminatum"
5020,"Amaryllidaceae","ALLIUM acuminatum"
133,"Amaryllidaceae","ALLIUM acutiflorum"
134,"Amaryllidaceae","ALLIUM aflatunense"
135,"Amaryllidaceae","ALLIUM altissimum 'Goliath'"
136,"Amaryllidaceae","ALLIUM altyncolicum"
137,"Amaryllidaceae","ALLIUM amphibolum"
5021,"Amaryllidaceae","ALLIUM amplectens"
138,"Amaryllidaceae","ALLIUM atrosanguineum"
139,"Amaryllidaceae","ALLIUM barsczewskii JCA17511"
140,"Amaryllidaceae","ALLIUM beesianum"
141,"Amaryllidaceae","ALLIUM bolanderi"
