Number	Family Name	Name	Garden/Wild	Live material
1	Malvaceae	ABELMOSCHUS manihot	Garden	
2	Pinaceae	ABIES koreana	Garden	
3	Malvaceae	ABUTILON sonneratianum	Garden	
4	Malvaceae	ABUTILON x suntense	Garden	
5	Malvaceae	ABUTILON vitifolium	Garden	
6	Malvaceae	ABUTILON vitifolium 'Tennant's White'	Garden	
7	Rosaceae	ACAENA inermis	Garden	
8	Rosaceae	ACAENA myriophylla	Garden	
9	Rosaceae	ACAENA saccaticupula	Garden	
10	Plumbaginaceae	ACANTHOLIMON armenum	Garden	
11	Plumbaginaceae	ACANTHOLIMON caryophyllaceum	Garden	
12	Plumbaginaceae	ACANTHOLIMON glumaceum	Garden	
13	Plumbaginaceae	ACANTHOLIMON litvinovii	Garden	
14	Plumbaginaceae	ACANTHOLIMON saxifragiforme	Garden	
15	Plumbaginaceae	ACANTHOLIMON trojanum	Garden	
16	Plumbaginaceae	ACANTHOLIMON ulicinum	Garden	
17	Acanthaceae	ACANTHUS mollis	Garden	
18	Sapindaceae	ACER campestre	Garden	
19	Sapindaceae	ACER x conspicuum 'Red Flamingo'	Garden	
20	Sapindaceae	ACER japonicum 'O-isami'	Garden	
21	Sapindaceae	ACER japonicum 'Vitifolium'	Garden	
22	Sapindaceae	ACER monspessulanum	Garden	
23	Sapindaceae	ACER palmatum	Garden	
24	Sapindaceae	ACER palmatum 'Arakawa'	Garden	
25	Sapindaceae	ACER palmatum 'Atropurpureum'	Garden	
26	Sapindaceae	ACER palmatum 'Bloodgood'	Garden	
27	Sapindaceae	ACER palmatum 'Ki-hachijo'	Garden	
28	Sapindaceae	ACER palmatum subsp. dissectum	Garden	
29	Sapindaceae	ACER rufinerve	Garden	
30	Sapindaceae	ACER shirasawanum	Garden	
31	Sapindaceae	ACER sieboldianum	Garden	
32	Asteraceae	ACHILLEA coarctata	Garden	
33	Asteraceae	ACHILLEA filipendulina 'Cloth of Gold'	Garden	
34	Asteraceae	ACHILLEA millefolium 'Cerise Queen'	Garden	
35	Asteraceae	ACHILLEA nobilis subsp. neilreichii	Garden	
36	Gesneriaceae	ACHIMENES 'Harry Williams'	Garden	
37	Amaryllidaceae	ACIS autumnalis	Garden	
38	Amaryllidaceae	ACIS autumnalis subsp. aportense	Garden	
39	Amaryllidaceae	ACIS autumnalis subsp. oporantha	Garden	
40	Amaryllidaceae	ACIS autumnalis subsp. oporantha f. dispathum	Garden	
41	Amaryllidaceae	ACIS nicaeensis	Garden	
42	Amaryllidaceae	ACIS rosea	Garden	
43	Amaryllidaceae	ACIS tingitana	Garden	
44	Amaryllidaceae	ACIS valentina	Garden	
45	Ranunculaceae	ACONITUM sp. dwarf yellow 40cm	Garden	
46	Ranunculaceae	ACONITUM 'Purple Sparrow'	Garden	
47	Ranunculaceae	ACONITUM alboviolaceum	Garden	
48	Ranunculaceae	ACONITUM anthora	Garden	
49	Ranunculaceae	ACONITUM hemsleyanum	Garden	
50	Ranunculaceae	ACONITUM japonicum	Garden	
51	Ranunculaceae	ACONITUM japonicum subsp. subcuneatum	Garden	
52	Ranunculaceae	ACONITUM krylovii	Garden	
53	Ranunculaceae	ACONITUM lamarckii	Garden	
54	Ranunculaceae	ACONITUM leucostomum hyb Cally Garden	Garden	
55	Ranunculaceae	ACONITUM lycoctonum	Garden	
56	Ranunculaceae	ACONITUM lycoctonum 'Russian Yellow'	Garden	
57	Ranunculaceae	ACONITUM napellus	Garden	
58	Ranunculaceae	ACONITUM napellus 'Carneum'	Garden	
59	Ranunculaceae	ACONITUM napellus 'Rubellum'	Garden	
60	Ranunculaceae	ACONITUM orientale	Garden	
61	Ranunculaceae	ACONITUM sachalinense	Garden	
62	Ranunculaceae	ACONITUM septentrionale	Garden	
63	Ranunculaceae	ACONITUM uncinatum	Garden	
64	Ranunculaceae	ACONITUM vulparia	Garden	
65	Ranunculaceae	ACTAEA elata	Garden	
66	Ranunculaceae	ACTAEA pachypoda	Garden	
67	Ranunculaceae	ACTAEA pachypoda 'Misty Blue'	Garden	
68	Ranunculaceae	ACTAEA pachypoda f. alba	Garden	
69	Ranunculaceae	ACTAEA pachypoda f. rubrocarpa	Garden	
70	Ranunculaceae	ACTAEA racemosa	Garden	
71	Ranunculaceae	ACTAEA racemosa f. variegata	Garden	
72	Ranunculaceae	ACTAEA rubra	Garden	
73	Ranunculaceae	ACTAEA spicata	Garden	
74	Boraginaceae	ADELOCARYUM coelestinum	Garden	
75	Campanulaceae	ADENOPHORA khasiana	Garden	
76	Campanulaceae	ADENOPHORA uehatae	Garden	
77	Campanulaceae	ADENOPHORA verticillata	Garden	
78	Asteraceae	ADENOSTYLES alpina	Garden	
